Power                   Time
317551.0564730229	0.256
317551.0564730229	0.268
317551.0564730229	0.28
317551.0564730229	0.292
317551.0564730229	0.304
317551.0564730229	0.316
317551.0564730229	0.328
317551.0564730229	0.34
317551.0564730229	0.352
317551.0564730229	0.364
317551.0564730229	0.376
317551.0564730229	0.388
317551.0564730229	0.4
317551.0564730229	0.412
317551.0564730229	0.424
317551.0564730229	0.436
317551.0564730229	0.448
317551.0564730229	0.46
317551.0564730229	0.472
317551.0564730229	0.484
317551.0564730229	0.496
317551.0564730229	0.508
317551.0564730229	0.52
317551.0564730229	0.532
317551.0564730229	0.544
317551.0564730229	0.556
317551.0564730229	0.568
317551.0564730229	0.58
317551.0564730229	0.592
317551.0564730229	0.604
317551.0564730229	0.616
317551.0564730229	0.628
317551.0564730229	0.64
317551.0564730229	0.652
317551.0564730229	0.664
317551.0564730229	0.676
317551.0564730229	0.688
317551.0564730229	0.7
317551.0564730229	0.712
317551.0564730229	0.724
317551.0564730229	0.736
317551.0564730229	0.748
317551.0564730229	0.76
317551.0564730229	0.772
317551.0564730229	0.784
317551.0564730229	0.796
317551.0564730229	0.808
317551.0564730229	0.82
317551.0564730229	0.832
317551.0564730229	0.844
317551.0564730229	0.856
317551.0564730229	0.868
317551.0564730229	0.88
317551.0564730229	0.892
317551.0564730229	0.904
317551.0564730229	0.916
317551.0564730229	0.928
317551.0564730229	0.94
317551.0564730229	0.952
317551.0564730229	0.964
317551.0564730229	0.976
317551.0564730229	0.988
317551.0564730229	1.0
317551.0564730229	1.012
317551.0564730229	1.024
317551.0564730229	1.036
317551.0564730229	1.048
317551.0564730229	1.06
317551.0564730229	1.072
317551.0564730229	1.084
317551.0564730229	1.096
317551.0564730229	1.108
317551.0564730229	1.12
317551.0564730229	1.132
317551.0564730229	1.144
317551.0564730229	1.156
317551.0564730229	1.168
317551.0564730229	1.18
317551.0564730229	1.192
317551.0564730229	1.204
317551.0564730229	1.216
317551.0564730229	1.228
317551.0564730229	1.24
317551.0564730229	1.252
317551.0564730229	1.264
317551.0564730229	1.276
317551.0564730229	1.288
317551.0564730229	1.3
317551.0564730229	1.312
317551.0564730229	1.324
317551.0564730229	1.336
317551.0564730229	1.348
317551.0564730229	1.36
317551.0564730229	1.372
317551.0564730229	1.384
317551.0564730229	1.396
317551.0564730229	1.408
317551.0564730229	1.42
317551.0564730229	1.432
317551.0564730229	1.444
317551.0564730229	1.456
317551.0564730229	1.468
317551.0564730229	1.48
317551.0564730229	1.492
317551.0564730229	1.504
317551.0564730229	1.516
317551.0564730229	1.528
317551.0564730229	1.54
317551.0564730229	1.552
317551.0564730229	1.564
317551.0564730229	1.576
317551.0564730229	1.588
317551.0564730229	1.6
317551.0564730229	1.612
317551.0564730229	1.624
317551.0564730229	1.636
317551.0564730229	1.648
317551.0564730229	1.66
317551.0564730229	1.672
317551.0564730229	1.684
317551.0564730229	1.696
317551.0564730229	1.708
317551.0564730229	1.72
317551.0564730229	1.732
317551.0564730229	1.744
317551.0564730229	1.756
317551.0564730229	1.768
317551.0564730229	1.78
317551.0564730229	1.792
317551.0564730229	1.804
317551.0564730229	1.816
317551.0564730229	1.828
317551.0564730229	1.84
317551.0564730229	1.852
317551.0564730229	1.864
317551.0564730229	1.876
317551.0564730229	1.888
317551.0564730229	1.9
317551.0564730229	1.912
317551.0564730229	1.924
317551.0564730229	1.936
317551.0564730229	1.948
317551.0564730229	1.96
317551.0564730229	1.972
317551.0564730229	1.984
317551.0564730229	1.996
317551.0564730229	2.008
317551.0564730229	2.02
317551.0564730229	2.032
317551.0564730229	2.044
317551.0564730229	2.056
319382.83442290046	2.068
321323.64218411554	2.08
323392.15437346365	2.092
325606.3931127385	2.104
327982.82452166255	2.116
330535.4374634558	2.128
333274.92399649293	2.14
336208.145912703	2.152
339337.9987159146	2.164
342663.5998443709	2.176
346180.58766897646	2.188
349881.3879281027	2.2
353755.5098771908	2.212
357789.9965854369	2.224
361970.04624259844	2.236
366279.7132177763	2.248
370702.5971109096	2.26
375222.4851964453	2.272
379823.92306050134	2.284
384492.63821728487	2.296
389215.72379414627	2.308
393981.5726150769	2.32
398779.58958912385	2.332
403599.6532073365	2.344
408431.37901737116	2.356
413263.29003073846	2.368
418081.9401518222	2.38
422871.0803138228	2.392
427610.9673559885	2.404
432277.90842140693	2.416
436844.1185519352	2.428
441277.986140884	2.44
445544.8258547286	2.452
449608.06603322085	2.464
453430.7584941347	2.476
456977.35205305385	2.488
460215.6171135601	2.5
463118.5762180065	2.512
465666.27157794934	2.524
467847.11273995106	2.536
469658.61375399225	2.548
471107.47272425785	2.56
472209.17381108063	2.572
472987.2755229311	2.584
473472.385162874	2.596
473700.7067714008	2.608
473712.2575890751	2.62
473548.9831518093	2.632
473252.9405578405	2.644
472864.59440777876	2.656
472421.26498709584	2.668
471955.84042801114	2.68
471495.9229870806	2.692
471063.4541659337	2.704
470674.7109130808	2.716
470340.48455461656	2.728
470066.3727541848	2.74
469853.31800728285	2.752
469698.5570554348	2.764
469596.90209600737	2.776
469542.09058881406	2.788
469528.0332864066	2.8
469549.9533129125	2.812
469605.35438770545	2.824
469694.68107884825	2.836
469821.5706122749	2.848
469992.78729216947	2.86
470217.91662903596	2.872
470508.891469821	2.884
470879.3936934341	2.896
471344.10228518985	2.908
471917.7782292641	2.92
472614.2287070009	2.932
473445.2871421854	2.944
474419.99874198687	2.956
475544.1785460084	2.968
476820.3724439839	2.98
478248.06814698846	2.992
479823.94725066813	3.004
481542.053798106	3.016
483393.9851142113	3.028
485369.2395898649	3.04
